,obj.time,obj.confidence,obj.dimensions_3d.0,obj.dimensions_3d.1,obj.dimensions_3d.2,obj.head_position.0,obj.head_position.1,obj.head_position.2,obj.label,obj.label_id,obj.position.0,obj.position.1,obj.position.2,obj.position_covariance.0,obj.position_covariance.1,obj.position_covariance.2,obj.position_covariance.3,obj.position_covariance.4,obj.position_covariance.5,obj.sublabel,obj.tracking_state,obj.velocity.0,obj.velocity.1,obj.velocity.2,gnss.altitude,gnss.latitude,gnss.longitude,gnss.position_covariance.0.,gnss.position_covariance.1.,gnss.position_covariance.2.,gnss.position_covariance.3.,gnss.position_covariance.4.,gnss.position_covariance.5.,gnss.position_covariance.6.,gnss.position_covariance.7.,gnss.position_covariance.8.,gnss.position_covariance_type,gnss.timestamp,gnss.time,odom.pose.pose.orientation.w,odom.pose.pose.orientation.x,odom.pose.pose.orientation.y,odom.pose.pose.orientation.z,odom.pose.pose.position.x,odom.pose.pose.position.y,odom.pose.pose.position.z,odom.twist.twist.angular.x,odom.twist.twist.angular.y,odom.twist.twist.angular.z,odom.twist.twist.linear.x,odom.twist.twist.linear.y,odom.twist.twist.linear.z,odom.timestamp,odom.time,imu.angular_velocity.x,imu.angular_velocity.y,imu.angular_velocity.z,imu.angular_velocity_covariance.0.,imu.angular_velocity_covariance.1.,imu.angular_velocity_covariance.2.,imu.angular_velocity_covariance.3.,imu.angular_velocity_covariance.4.,imu.angular_velocity_covariance.5.,imu.angular_velocity_covariance.6.,imu.angular_velocity_covariance.7.,imu.angular_velocity_covariance.8.,imu.linear_acceleration.x,imu.linear_acceleration.y,imu.linear_acceleration.z,imu.linear_acceleration_covariance.0.,imu.linear_acceleration_covariance.1.,imu.linear_acceleration_covariance.2.,imu.linear_acceleration_covariance.3.,imu.linear_acceleration_covariance.4.,imu.linear_acceleration_covariance.5.,imu.linear_acceleration_covariance.6.,imu.linear_acceleration_covariance.7.,imu.linear_acceleration_covariance.8.,imu.orientation.w,imu.orientation.x,imu.orientation.y,imu.orientation.z,imu.orientation_covariance.0.,imu.orientation_covariance.1.,imu.orientation_covariance.2.,imu.orientation_covariance.3.,imu.orientation_covariance.4.,imu.orientation_covariance.5.,imu.orientation_covariance.6.,imu.orientation_covariance.7.,imu.orientation_covariance.8.,imu.timestamp,imu.time,mag.magnetic_field.x,mag.magnetic_field.y,mag.magnetic_field.z,mag.magnetic_field_covariance.0.,mag.magnetic_field_covariance.1.,mag.magnetic_field_covariance.2.,mag.magnetic_field_covariance.3.,mag.magnetic_field_covariance.4.,mag.magnetic_field_covariance.5.,mag.magnetic_field_covariance.6.,mag.magnetic_field_covariance.7.,mag.magnetic_field_covariance.8.,mag.timestamp,mag.time
0,1684917394.430579,77.11531066894531,0.4996573,0.47101334,0.4996573,,,,Person,0,0.46591714,-0.15183467,0.014958037,6.82452e-08,-2.2348818e-08,2.1559374e-09,1.18507764e-07,-7.060226e-10,1.163686e-07,Person,1,0.00060064637,-0.017967599,0.00053227996,442.483,50.918219773333334,13.341465671666667,77.44000000000001,0.0,0.0,0.0,77.44000000000001,0.0,0.0,0.0,1239.0400000000002,1,1684917411457864960,1684917411.457865,0.999789356645494,0.0,0.0,0.0205241891043046,-15.9649925155176,-24.8508292767082,0.0,0.0,0.0,-2.9629076969683867e-16,9.08387948195255e-16,0.0,0.0,1684917394434299648,1684917394.4342995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11551173776388168,0.11427394300699234,9.804248809814453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999627470970154,0.005918836686760187,-0.005998858716338873,-0.0018633224535733461,4.256773272633467e-11,3.341337040273904e-14,1.2052870724794924e-15,3.34133661753229e-14,4.314845119147005e-11,6.108741041069842e-15,1.2052532531503172e-15,6.108755837026356e-15,4.333571395765187e-11,1684917394432040960,1684917394.4320412,2.3125e-06,-5e-07,-1.625e-06,3.9e-08,0.0,0.0,0.0,3.7e-08,0.0,0.0,0.0,4.7e-08,1684917394421934336,1684917394.4219344
1,1684917394.497789,65.57776641845703,0.49971208,0.4712553,0.4997121,,,,Person,0,0.46736893,-0.15457046,0.014940622,7.038194e-08,-2.4220473e-08,2.2071425e-09,1.212512e-07,-7.5954204e-10,1.1817634e-07,Person,1,0.0039098896,-0.041554343,0.001206084,442.483,50.918219773333334,13.341465671666667,77.44000000000001,0.0,0.0,0.0,77.44000000000001,0.0,0.0,0.0,1239.0400000000002,1,1684917411457864960,1684917411.457865,0.999789356645494,0.0,0.0,0.0205241891043046,-15.9649925155176,-24.8508292767082,0.0,0.0,0.0,-2.9629076969683867e-16,9.08387948195255e-16,0.0,0.0,1684917394532955904,1684917394.532956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12981785833835602,0.11439371109008789,9.82809829711914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999643564224243,0.005865729413926601,-0.005763218738138676,-0.0019107026746496558,4.306912457295641e-11,3.977840911625603e-14,6.448213126207558e-15,3.977840066142373e-14,4.364189089630682e-11,3.67832789634689e-15,6.44819621654297e-15,3.6783033244905355e-15,4.381998510707189e-11,1684917394498301184,1684917394.498301,2.3125e-06,-5e-07,-1.625e-06,3.9e-08,0.0,0.0,0.0,3.7e-08,0.0,0.0,0.0,4.7e-08,1684917394481949440,1684917394.4819493
2,1684917394.698771,73.10574340820312,0.49974918,0.4718185,0.49974915,,,,Person,0,0.47170073,-0.16692454,0.014889201,7.314126e-08,-2.714495e-08,2.259147e-09,1.2518272e-07,-8.384383e-10,1.2046983e-07,Person,1,0.00077633513,-0.058278643,-0.00018530188,442.483,50.918219773333334,13.341465671666667,77.44000000000001,0.0,0.0,0.0,77.44000000000001,0.0,0.0,0.0,1239.0400000000002,1,1684917411457864960,1684917411.457865,0.999789356645494,0.0,0.0,0.0205241891043046,-15.9649925155176,-24.8508292767082,0.0,0.0,0.0,-2.9629076969683867e-16,9.08387948195255e-16,0.0,0.0,1684917394730854400,1684917394.7308543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15597012639045715,0.10502929985523224,9.775585174560547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999637603759766,0.005661483854055405,-0.006039705593138933,-0.001975880702957511,4.4764255408640105e-11,4.2143081976691796e-14,-6.2024142417612785e-15,4.2143090431524096e-14,4.5390989805824606e-11,2.0076957055674502e-17,-6.202397332096691e-15,2.004396339371537e-17,4.555195899051382e-11,1684917394698068992,1684917394.6980689,2.25e-06,-3.75e-07,-1.5624999999999999e-06,3.9e-08,0.0,0.0,0.0,3.7e-08,0.0,0.0,0.0,4.7e-08,1684917394682915328,1684917394.6829152
3,1684917394.76573,80.92765808105469,0.4997856,0.47214428,0.49978557,,,,Person,0,0.4727148,-0.1694251,0.014886332,7.3154816e-08,-2.7148642e-08,2.2786761e-09,1.2519426e-07,-8.4564444e-10,1.2048221e-07,Person,1,0.0011631055,-0.045151737,0.00042559952,442.483,50.918219773333334,13.341465671666667,77.44000000000001,0.0,0.0,0.0,77.44000000000001,0.0,0.0,0.0,1239.0400000000002,1,1684917411457864960,1684917411.457865,0.999789356645494,0.0,0.0,0.0205241891043046,-15.9649925155176,-24.8508292767082,0.0,0.0,0.0,-2.9629076969683867e-16,9.08387948195255e-16,0.0,0.0,1684917394730854400,1684917394.7308543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08440162241458893,0.13797082006931305,9.832779884338379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999653697013855,0.005865729413926601,-0.005547152366489172,-0.001994645455852151,4.5332350876799455e-11,4.865160764906741e-14,1.3813386634010355e-14,4.86516161038997e-14,4.594142346751543e-11,1.317390618610691e-15,1.3813403543674941e-14,1.317387448048581e-15,4.61121888943709e-11,1684917394764915968,1684917394.764916,2.1875e-06,-4.375e-07,-1.625e-06,3.9e-08,0.0,0.0,0.0,3.7e-08,0.0,0.0,0.0,4.7e-08,1684917394763133184,1684917394.763133
4,1684917394.899647,76.62910461425781,0.49981704,0.47275594,0.49981695,,,,Person,0,0.47403622,-0.17237435,0.014910048,7.3179514e-08,-2.719461e-08,2.2997053e-09,1.2524443e-07,-8.5460505e-10,1.2050383e-07,Person,1,-9.1282534e-05,-0.029403556,0.0020627808,442.483,50.918219773333334,13.341465671666667,77.44000000000001,0.0,0.0,0.0,77.44000000000001,0.0,0.0,0.0,1239.0400000000002,1,1684917411457864960,1684917411.457865,0.999789356645494,0.0,0.0,0.0205241891043046,-15.9649925155176,-24.8508292767082,0.0,0.0,0.0,-2.9629076969683867e-16,9.08387948195255e-16,0.0,0.0,1684917394928731392,1684917394.9287314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10593648999929428,0.11419367045164108,9.830443382263184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999668598175049,0.00586699927225709,-0.005257532931864262,-0.0020535404328256845,4.661751568758084e-11,5.6517721515447454e-14,2.4005467138585003e-14,5.651770883319901e-14,4.723312920711395e-11,-4.8200226082620985e-16,2.4005433319255828e-14,-4.820099890713535e-16,4.740246610550505e-11,1684917394901672960,1684917394.9016728,2.1875e-06,-4.375e-07,-1.625e-06,3.9e-08,0.0,0.0,0.0,3.7e-08,0.0,0.0,0.0,4.7e-08,1684917394962940416,1684917394.9629405
5,1684917394.966444,89.55245208740234,0.49982598,0.4730457,0.49982604,,,,Person,0,0.47451857,-0.17318669,0.014917256,7.315857e-08,-2.7150218e-08,2.293937e-09,1.2519786e-07,-8.5131374e-10,1.2048622e-07,Person,1,0.00044718542,-0.021554712,-0.0048167463,442.483,50.918219773333334,13.341465671666667,77.44000000000001,0.0,0.0,0.0,77.44000000000001,0.0,0.0,0.0,1239.0400000000002,1,1684917411457864960,1684917411.457865,0.999789356645494,0.0,0.0,0.0205241891043046,-15.9649925155176,-24.8508292767082,0.0,0.0,0.0,-2.9629076969683867e-16,9.08387948195255e-16,0.0,0.0,1684917394928731392,1684917394.9287314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4778960049152374,0.6036492586135864,10.169605255126953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999643564224243,0.0061883749440312386,-0.00537248095497489,-0.002031654817983508,4.710048384588639e-11,5.546625320688964e-14,3.4521147894373774e-14,5.546626588913808e-14,4.772809700452018e-11,3.19736022956926e-15,3.4521147894373774e-14,3.197320597542883e-15,4.7911520059344746e-11,1684917394966717440,1684917394.9667175,2.1875e-06,-4.375e-07,-1.625e-06,3.9e-08,0.0,0.0,0.0,3.7e-08,0.0,0.0,0.0,4.7e-08,1684917394962940416,1684917394.9629405
6,1684917395.033676,80.86729431152344,0.4998396,0.4733424,0.4998395,,,,Person,0,0.47504786,-0.17371811,0.014952185,7.358606e-08,-2.719615e-08,2.3370919e-09,1.255091e-07,-8.637492e-10,1.2083983e-07,Person,1,0.00068818644,-0.014892416,0.009547315,442.483,50.918219773333334,13.341465671666667,77.44000000000001,0.0,0.0,0.0,77.44000000000001,0.0,0.0,0.0,1239.0400000000002,1,1684917411457864960,1684917411.457865,0.999789356645494,0.0,0.0,0.0205241891043046,-15.9649925155176,-24.8508292767082,0.0,0.0,0.0,-2.9629076969683867e-16,9.08387948195255e-16,0.0,0.0,1684917395028268032,1684917395.0282679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18216022849082947,0.4023241698741913,9.675681114196777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999678730964661,0.005815980955958366,-0.005018262658268213,-0.0022706391755491495,4.765516413310309e-11,7.420523912897597e-14,3.0649764735351106e-14,7.420522221931138e-14,4.827415417446108e-11,-8.352166322141882e-15,3.06497816450157e-14,-8.352212823719498e-15,4.843539607822077e-11,1684917395033153792,1684917395.0331538,2.1875e-06,-3.1249999999999997e-07,-1.6875e-06,3.9e-08,0.0,0.0,0.0,3.7e-08,0.0,0.0,0.0,4.7e-08,1684917395023046144,1684917395.023046
7,1684917395.100633,86.7934341430664,0.49984652,0.47362387,0.49984643,,,,Person,0,0.47549075,-0.17405128,0.014980682,7.363863e-08,-2.7129056e-08,2.3366702e-09,1.2549367e-07,-8.6084784e-10,1.2088289e-07,Person,1,-0.000107922766,-0.012414166,-0.008040732,442.483,50.918219773333334,13.341465671666667,77.44000000000001,0.0,0.0,0.0,77.44000000000001,0.0,0.0,0.0,1239.0400000000002,1,1684917411457864960,1684917411.457865,0.999789356645494,0.0,0.0,0.0205241891043046,-15.9649925155176,-24.8508292767082,0.0,0.0,0.0,-2.9629076969683867e-16,9.08387948195255e-16,0.0,0.0,1684917395138158080,1684917395.138158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13447308540344238,-0.22337158024311066,9.908785820007324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999638795852661,0.006463965866714716,-0.005140015389770269,-0.001994645455852151,4.8152560428898745e-11,5.711718180732856e-14,5.474385542604006e-14,5.711719448957701e-14,4.879414286436438e-11,9.153756289671638e-15,5.474383851637547e-14,9.15373938000705e-15,4.8992911777995546e-11,1684917395101282304,1684917395.1012824,2.1875e-06,-3.1249999999999997e-07,-1.6875e-06,3.9e-08,0.0,0.0,0.0,3.7e-08,0.0,0.0,0.0,4.7e-08,1684917395165612800,1684917395.165613
8,1684917395.167612,78.06626892089844,0.49984893,0.47389472,0.4998488,,,,Person,0,0.47585747,-0.17454825,0.015028239,7.36452e-08,-2.7315478e-08,2.362947e-09,1.2563575e-07,-8.764322e-10,1.2088994e-07,Person,1,0.00081619504,-0.011625604,0.006116271,442.483,50.918219773333334,13.341465671666667,77.44000000000001,0.0,0.0,0.0,77.44000000000001,0.0,0.0,0.0,1239.0400000000002,1,1684917411457864960,1684917411.457865,0.999789356645494,0.0,0.0,0.0205241891043046,-15.9649925155176,-24.8508292767082,0.0,0.0,0.0,-2.9629076969683867e-16,9.08387948195255e-16,0.0,0.0,1684917395138158080,1684917395.138158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02479272149503231,0.29319697618484497,9.868657112121582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999643564224243,0.006241124588996172,-0.005227688699960709,-0.00223091640509665,4.862569338517084e-11,7.044131266099176e-14,3.982481346330073e-14,7.044129575132716e-14,4.928292470063248e-11,-3.2671295056579605e-15,3.9824847282629904e-14,-3.267137432063236e-15,4.945997132385702e-11,1684917395166926080,1684917395.1669261,2.1875e-06,-3.1249999999999997e-07,-1.6875e-06,3.9e-08,0.0,0.0,0.0,3.7e-08,0.0,0.0,0.0,4.7e-08,1684917395165612800,1684917395.165613
9,1684917395.368632,85.09638214111328,0.49985862,0.47440112,0.49985862,,,,Person,0,0.47648397,-0.1749721,0.015106954,7.340326e-08,-2.6937832e-08,2.3326248e-09,1.2520013e-07,-8.560363e-10,1.2068963e-07,Person,1,2.3390254e-05,-0.0023349274,-0.00093741406,442.483,50.918219773333334,13.341465671666667,77.44000000000001,0.0,0.0,0.0,77.44000000000001,0.0,0.0,0.0,1239.0400000000002,1,1684917411457864960,1684917411.457865,0.999789356645494,0.0,0.0,0.0205241891043046,-15.9649925155176,-24.8508292767082,0.0,0.0,0.0,-2.9629076969683867e-16,9.08387948195255e-16,0.0,0.0,1684917395335534336,1684917395.3355343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1177826002240181,0.2101234644651413,9.82808780670166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999656081199646,0.0060458704829216,-0.005203403532505035,-0.0022739178966730833,5.02045463327293e-11,7.667602858953161e-14,3.611422430484215e-14,7.66760370443639e-14,5.0898798179788686e-11,-7.109960696024354e-15,3.611422430484215e-14,-7.109998214342658e-15,5.1046248290556043e-11,1684917395368910848,1684917395.368911,2.1875e-06,-3.1249999999999997e-07,-1.6875e-06,3.9e-08,0.0,0.0,0.0,3.7e-08,0.0,0.0,0.0,4.7e-08,1684917395363894784,1684917395.3638947
